,,,,,,,,,,,,,
２ 身長の年齢別分布（2-1）,,,,,,,,,,,,,
1 男,,,,,,,,,,,,,単位 （‰）
区　　分,幼稚園,小　　　　　　　学　　　　　　　校,,,,,,中　　　　学　　　　校,,,高　　等　　学　　校,,
,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳
計,1000.0 ,1000.0 ,1000.0 ,1000.0 ,1000.0 ,1000.0 ,1000.0 ,1000.0 ,1000.0 ,1000.0 ,1000.0 ,1000.0 ,1000.0 
～90㎝,0.0 ,-,-,-,-,-,-,-,-,-,-,-,-
91,0.0 ,-,-,-,-,-,-,-,-,-,-,-,-
92,0.1 ,-,-,-,-,-,-,-,-,-,-,-,-
93,0.0 ,-,-,-,-,-,-,-,-,-,-,-,-
94,0.1 ,-,-,-,-,-,-,-,-,-,-,-,-
95,0.3 ,-,-,-,-,-,-,-,-,-,-,-,-
96,0.7 ,-,-,-,-,-,-,-,-,-,-,-,-
97,0.8 ,0.1 ,-,-,-,-,-,-,-,-,-,-,-
98,1.5 ,-,-,-,-,-,-,-,-,-,-,-,-
99,3.3 ,-,-,-,-,-,-,-,-,-,-,-,-
100,7.8 ,0.1 ,-,-,-,-,-,-,-,-,-,-,-
101,11.6 ,0.5 ,-,-,-,-,-,-,-,-,-,-,-
102,17.6 ,0.6 ,-,-,-,-,-,-,-,-,-,-,-
103,25.6 ,1.1 ,-,-,-,-,-,-,-,-,-,-,-
104,30.8 ,1.9 ,-,-,-,-,-,-,-,-,-,-,-
105,44.9 ,4.5 ,-,-,-,-,-,-,-,-,-,-,-
106,57.8 ,9.0 ,0.5 ,0.0 ,0.0 ,-,-,-,-,-,-,-,-
107,70.0 ,10.6 ,0.4 ,-,-,-,-,-,-,-,-,-,-
108,79.3 ,18.4 ,1.2 ,0.1 ,-,-,-,-,-,-,-,-,-
109,81.3 ,26.7 ,1.8 ,0.0 ,-,-,-,-,-,-,-,-,-
110,86.7 ,35.7 ,4.3 ,0.5 ,-,-,-,-,-,-,-,-,-
111,78.9 ,43.3 ,5.9 ,0.3 ,0.1 ,-,-,-,-,-,-,-,-
112,76.8 ,58.4 ,9.2 ,0.7 ,0.1 ,-,-,-,-,-,-,-,-
113,70.2 ,66.4 ,12.9 ,1.6 ,-,0.0 ,-,-,-,-,-,-,-
114,62.5 ,73.7 ,19.5 ,1.7 ,0.3 ,-,-,-,-,-,-,-,-
115,49.6 ,78.8 ,25.7 ,2.6 ,0.1 ,0.0 ,-,-,-,-,-,-,-
116,41.6 ,82.9 ,38.4 ,4.9 ,0.3 ,-,0.1 ,-,-,-,-,-,-
117,29.0 ,78.3 ,42.0 ,9.5 ,0.5 ,0.0 ,-,-,-,-,-,-,-
118,24.0 ,77.1 ,54.3 ,11.8 ,1.0 ,0.1 ,0.0 ,-,-,-,-,-,-
119,16.2 ,71.3 ,64.5 ,15.6 ,2.0 ,0.1 ,0.0 ,-,-,-,-,-,-
120,11.6 ,61.7 ,73.1 ,26.0 ,3.5 ,0.3 ,0.0 ,-,-,-,-,-,-
121,7.1 ,48.0 ,75.9 ,30.8 ,5.7 ,0.7 ,0.0 ,-,-,-,-,-,-
122,5.0 ,39.4 ,82.4 ,40.6 ,7.9 ,0.7 ,0.0 ,-,-,-,-,-,-
123,3.1 ,31.7 ,74.6 ,49.5 ,11.8 ,1.1 ,0.3 ,-,-,-,-,-,-
124,2.3 ,25.8 ,74.4 ,55.7 ,16.9 ,3.3 ,0.1 ,-,-,-,-,-,-
125,0.9 ,18.1 ,68.4 ,62.5 ,22.2 ,4.7 ,0.3 ,0.0 ,-,-,-,-,-
126,0.5 ,10.7 ,57.8 ,75.7 ,30.8 ,5.4 ,0.4 ,-,0.0 ,0.0 ,-,-,-
127,0.1 ,8.7 ,53.2 ,74.7 ,35.0 ,8.2 ,1.1 ,-,0.0 ,-,-,-,-
128,0.0 ,5.8 ,41.7 ,77.1 ,42.9 ,14.8 ,1.8 ,0.1 ,-,-,-,-,-
129,0.2 ,4.0 ,32.9 ,70.6 ,52.9 ,19.6 ,2.8 ,0.3 ,-,-,-,-,-
130,0.2 ,2.8 ,27.1 ,69.7 ,62.7 ,26.7 ,4.8 ,0.3 ,-,-,-,-,-
131,0.1 ,1.7 ,20.0 ,56.7 ,67.3 ,27.0 ,6.2 ,0.8 ,-,-,-,-,-
132,0.0 ,0.7 ,12.4 ,55.4 ,71.9 ,37.8 ,8.3 ,1.0 ,0.1 ,-,-,-,-
133,0.0 ,0.3 ,8.0 ,50.0 ,72.7 ,45.6 ,12.1 ,1.9 ,0.1 ,-,-,-,-
134,-,0.7 ,5.6 ,39.1 ,66.8 ,52.1 ,16.5 ,2.7 ,0.2 ,-,-,-,-
135,-,0.1 ,4.3 ,31.5 ,68.5 ,56.1 ,18.0 ,3.4 ,0.4 ,0.0 ,-,-,-
