key,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
,pref.id,sex,pref.E,pref.A,pref.J,人口_2018(単位：万人),受療率_入院_悪性新生物_2017,受療率_入院_心疾患_2017,受療率_入院_脳血管疾患_2017,受療率_外来_悪性新生物_2017,受療率_外来_心疾患_2017,受療率_外来_脳血管疾患_2017,病院数_2019,診療所数_2019,がん治療認定医数_2020,循環器専門医数_2020,内視鏡専門医数_2020,75歳未満調整死亡率_悪性新生物_2018,書籍購入代金_2019,平均寿命_2015,健康寿命_2016,75歳未満調整死亡率_悪政新生物_2019,年齢調整死亡率_心疾患_2015,年齢調整死亡率_脳血管疾患_2015,60歳以上人口_2015,学習率_2016,読書率_2016,人口・世帯_年少人口割合2020,人口・世帯_老年人口割合2020,人口・世帯_生産年齢人口割合2020,人口・世帯_粗死亡率2020,人口・世帯_共働き世帯割合2020,自然環境_年平均気温,自然環境_年平均相対湿度,自然環境_降水量（年間）,自然環境_雪日数（年間）,経済基盤_県民所得,行政基盤_財政力指数,行政基盤_収支比率,行政基盤_生活保護費割合（県財政）,行政基盤_教育費割合（県財政）,教育_最終学歴が大学・大学院卒の者の割合,労働_１次産業就業者比率,労働_２次産業就業者比率,労働_３次産業就業者比率,労働_完全失業率,文化・スポーツ_図書館数（人口100万人当たり）,健康・医療_一般診療所数(可住地面積100k㎡当たり),文化・スポーツ_スポーツの行動者率,文化・スポーツ_旅行・行楽行動者率,居住_持ち家比率,居住_一戸建住宅比率,居住_上水道給水人口比率,居住_下水道普及比率,文化・スポーツ_ボランティア活動行動者率,居住_都市公園面積（人口１人当たり）,居住_都市公園数(可住地面積100k㎡当たり),健康・医療_一般病院数(可住地面積100k㎡当たり),居住_主要道路舗装率,居住_市町村舗装率,健康・医療_一般歯科診療所数（人口10万人当たり）,健康・医療_医療施設に従事する医師数（人口10万人当たり）,健康・医療_保健師数（人口10万人当たり）,安全_交通事故発生件数（人口10万人当たり）,家計_実収入（一世帯当たり１か月）,家計_消費支出（一世帯当たり１か月）,家計_教育費割合（対消費支出）,家計_教養娯楽費割合（対消費支出）,家計_貯蓄現在高,家計_スマートフォン所有数量（千世帯当たり）,家計_パソコン所有数量（千世帯当たり）,家計_自動車所有数量（千世帯当たり）,家計_タブレット端末所有数量（千世帯当たり）,人口・世帯_高齢単身者世帯の割合,スポーツ総行動率,スポーツ総行動率-器具を使ったトレーニング,スポーツ行動率－ウォーキング,旅行・行楽－旅行・行楽・観光総行動率,旅行・行楽－旅行率,旅行・行楽－行楽率,旅行・行楽－観光率,ボランティア総行動率－総数,ボランティア総行動率－まちづくり活動,ボランティア総行動率－国際協力活動,ボランティア総行動率－健康や医療サービスに関係した活動,ボランティア総行動率－高齢者を対象とした活動,ボランティア総行動率－障害者を対象とした活動,ボランティア総行動率－子供を対象とした活動,趣味・娯楽－趣味娯楽総行動率,趣味・娯楽－園芸・庭いじり・ガーデニング,趣味・娯楽－スポーツ観覧,趣味・娯楽－読書,自己啓発・訓練－学習・自己啓発・訓練率,自己啓発・訓練－芸術・文化,自己啓発・訓練－英語,自己啓発・訓練－英語以外の外国語,自己啓発・訓練－パソコンなどの情報処理,ボランティア活動－安全な生活のための活動,ボランティア活動－自然や環境の活動,ボランティア活動－災害活動,高血圧疾患_入院2017年,高血圧疾患_外来2017年,糖尿病_入院2017年,糖尿病_外来2017年,脳血管疾患_年齢調整死亡率2015,悪性新生物(胃)_年齢調整死亡率2015,悪性新生物(大腸)_年齢調整死亡率2015,悪性新生物(肝及び肝内胆管)_年齢調整死亡率2015,悪性新生物(気管、気管支及び肺)_年齢調整死亡率2015,悪性新生物(乳房)_年齢調整死亡率2015,悪性新生物(子宮)_年齢調整死亡率2015,心疾患_年齢調整死亡率2015,肺炎_年齢調整死亡率2015,急性心筋梗塞_年齢調整死亡率2015,血圧を下げる薬の使用_回答・はい(40～74歳)2017,インシュリン注射、血糖を下げる薬の使用_回答・はい(40～74歳)2017,コレステロールを下げる薬の使用_回答・はい(40～74歳)2017,就寝前の2時間以内に夕食_回答・はい(40～74歳)2017,日常生活において歩行等の身体活動(1日1時間以上実施)_回答・はい(40～74歳)2017,軽く汗をかく運動週2回_回答・はい(40～74歳)2017,"喫煙率(計100本以上,6ヵ月以上&直近1ヵ月)_回答・はい(40～74歳)2017",20歳に比べて10kg体重増加.回答_はい(40～74歳)2017,歩く速度が速い(同年齢と比較).回答_はい(40～74歳)2017,飲酒日1日当たり2合以上飲む割合(頻度)_回答・はい(40～74歳)2017,毎日酒を飲む割合(頻度)_回答・はい(40～74歳)2017,睡眠休養が十分とれている.回答_はい(40～74歳)2017,朝食を抜くことが週3回ある.回答_はい(40～74歳)2017,夕食後に間食することが週3回ある.回答_はい(40～74歳)2017,肉類_2020,魚介類_2020,牛乳_2020,乳製品_2020,卵_2020,大豆_2020,一定のバリアフリー化率_2018,高度のバリアフリー化率_2018,バリアフリー_手すりがある2018,バリアフリー_廊下などが車いすで通行可能な幅2018,バリアフリー_段差のない屋内2018,総実労働時間_2019,現金給与総額_2019,生鮮肉(世帯数消費支出)_2018,生鮮肉(世帯数消費支出)_2019,生鮮肉(世帯数消費支出)_2020,生鮮肉平均_世帯数消費支出(2018～2020）,菓子類(世帯数消費支出)_2018,菓子類(世帯数消費支出)_2019,菓子類(世帯数消費支出)_2020,菓子類平均_世帯数消費支出(2018～2020）,果物(世帯数消費支出)_2018,果物(世帯数消費支出)_2019,果物(世帯数消費支出)_2020,果物平均_世帯数消費支出(2018～2020）,全国学力・学習状況(公立学校数)(中学校)_2019,全国学力・学習状況(公立学校数)(小学生)_2019,う蝕外来総数_2017,歯周疾患(歯肉炎)外来総数_2017,骨の密度障害_2017,骨折_2017,歯の補てつ_2017,アルツハイマー等(脳血管疾患)_2017,ジニ係数総世帯_2014,収入ジニ係数勤労世帯_2014,野菜摂取量_2016(20歳以上平均値(g/日),食塩摂取量_2016(20歳以上平均値(g/日),BMI平均値_2016(男性20～69歳)(女性40～69歳)(単位Kg/㎡),歩数_2016(20歳以上平均値(歩/日)
1,1,M,Hokkaido,Hkk,北海道,249,152,97,168,137,134,58,10.5,64.7,770,640,1370,99.8,"39,965",80.28,71.98,95.9,64.4,34.7,847206,30.3,33.1,10.9,31.3,57.7,11.73,21.14,9.5,69,1282,131,2589,0.446,0.4,1.41,18.8,11.3,7,16.9,70.6,4.6,27.7,15.1,64.9,69.1,56.3,52,97.5,90.5,22.6,26.13,34.09,2.2,96.1,59.5,55.2,238.3,59.3,187.9,544,281.1,3.9,9.6,11918,865,1233,1325,217,13.1,70.6,17.4,33,65.7,51.8,51.4,40.9,22.2,10.4,0.6,3.9,2.9,1.3,4.1,85,21,28.4,33.1,30.3,7.2,9.2,2.7,13.6,4,3,1.1,0.6,27.5,1.4,10.1,34.7,22.6,22.4,14.7,47.8,,,64.4,39.5,14.5,"126,208","41,453","74,989","149,957","168,208","117,481","211,401","212,536","220,017","110,235","168,729","307,696","112,393","80,486","68,889","67,258","10,075","18,071","6,393","9,392",42.2,8.6,"548,800","169,400","214,700",141.2,"291,187","3,938","3,708","4,399","4,015","4,310","4,408","4,989","4,569","2,220","2,304","2,621","2,382",584,997,4.7,15.3,2,3.9,10,3.1,0.308,0.236,275.6,10.7,24,"7,381"
2,2,M,Aomori,Amr,青森,59,128,43,124,172,95,132,7.5,70.4,128,84,253,118.5,"41,814",78.67,71.64,112.6,76.8,52.8,208768,25,26.3,10.8,32.6,56.6,13.75,27.58,11,75,1553,117,2462,0.346,0.6,1.19,21.89,9.1,12,19.8,65.1,5.3,26,27.3,56,59.4,70.3,75.2,94.5,58.8,22.4,15.82,26.63,2.4,93.9,65.1,41.8,198.2,54.2,234.8,456.5,251.5,1.9,8.1,8624,848,900,1651,149,12.09,62.1,13.4,32.9,56.8,38.1,46.5,30.5,22.6,11.9,0.1,2.9,2.3,0.4,4.9,82.9,18.1,19.8,26.3,25,5.1,6.1,1.4,10.1,5.3,3.6,0.6,0,8,0.2,2.3,52.8,31.1,28.3,17.8,45.4,,,76.8,49.1,22.8,"43,442","13,288","19,454","46,763","54,440","34,443","58,335","58,427","68,331","41,759","60,179","84,255","26,277","21,182","72,181","79,077","12,000","19,701","6,858","12,703",37.4,7.4,"127,900","48,000","49,000",150,"259,552","4,201","3,994","4,420","4,205","4,518","4,460","5,097","4,692","2,477","2,520","2,461","2,486",155,283,2.8,3.1,1.3,0.7,3.2,1.7,0.327,0.254,318.7,11.3,24.5,"7,472"
3,3,M,Iwate,Iwt,岩手,60,100,49,132,183,105,153,7.4,71.6,168,117,247,96.5,"42,780",79.86,71.85,95.4,80.5,51.8,210555,27.7,29.2,11.3,32.5,56.2,13.73,29.84,11,76,1322,106,2760,0.362,6.1,0.29,14.97,9.7,10.6,25.1,62.9,4,36.7,23.5,60.6,65.7,69.9,72.9,92.6,58.9,30.2,11.66,33.66,2.1,91.4,58.3,46.8,193.8,60,159.7,580,286.7,2.8,9.1,12689,909,1172,1812,166,10.91,65.1,14.1,31.7,62.6,45,49.9,37.5,29.3,17.6,0.4,2,3.1,1,6.1,84.9,20.8,24.2,29.2,27.7,7,6.8,1.8,11.8,7,6.1,2.6,0.1,7.2,0.2,2.7,51.8,21,21.1,13.6,39.3,,,80.5,36.8,16.5,"41,692","12,745","14,801","55,472","70,777","34,825","61,824","66,198","69,084","33,243","70,809","98,439","25,728","22,530","49,088","48,937","10,824","20,906","5,545","10,957",43.9,11.2,"141,300","61,600","60,100",151,"280,218","3,768","3,648","3,042","3,486","4,911","5,341","4,532","4,928","2,530","2,507","1,981","2,339",159,314,3,3.4,0.6,0.6,2.3,1.9,0.275,0.244,299.1,10.7,24.4,"6,626"
4,4,M,Miyagi,Myg,宮城,113,75,41,91,124,109,56,6,72.5,294,210,561,85.1,"36,956",80.99,72.39,84.6,65.1,43,337618,35.8,35.1,11.9,27.8,60.3,10.28,24.61,13.6,72,1082,63,2987,0.628,3.2,0.38,14.91,14.3,4.4,22.9,70.5,4.9,15,52.6,66.4,74.1,58.1,55.3,98.7,80.2,26.7,17.24,96.8,3.6,99.1,75.5,45.8,231.9,47.5,294.3,459.4,274.6,4.6,9.7,12154,1048,1162,1625,200,9.06,71.8,17,36.5,73,58.6,55.9,45.3,24.4,13.9,0.5,2,3.4,1.2,5.4,87.9,22.6,30.5,35.1,35.8,8.6,9.5,3.2,15.5,7.3,5.1,1.7,0.1,15.8,0.2,4.4,43,21.3,18.3,12.6,40.1,,,65.1,31.1,11.5,"85,985","24,889","43,122","101,209","117,671","79,847","120,755","132,813","138,247","65,921","116,950","188,738","53,790","35,816","55,542","60,554","11,341","17,709","7,150","12,124",46.5,12.5,"228,200","100,500","103,600",144.7,"294,926","3,712","3,564","3,469","3,582","4,572","4,470","4,546","4,529","2,643","2,494","2,654","2,597",199,370,5,8.7,1.4,1.4,5.4,1.3,0.316,0.256,332,11.9,24.6,"6,803"
5,5,M,Akita,Akt,秋田,46,136,49,119,175,145,96,7,83,129,94,224,102.2,"41,488",79.51,71.21,100.2,64.6,52.2,181995,26.6,28.8,10,36.4,53.6,15.49,30.18,12.3,75,2016.5,101,2420,0.315,1.5,0.28,18.31,9,9.6,24,64.7,4.3,45.9,25.1,60.6,68.5,77.3,79.8,88.6,63.5,27.2,16.29,18.35,1.7,97.6,65.1,44.4,223.5,59.6,181.9,592.7,280.1,2.8,8.8,10419,921,1117,1802,166,12.34,65.9,14.1,33.3,67,48.7,55.1,41.7,30.5,17.5,0.2,2.4,3.7,0.9,6.9,82,21.5,24.9,28.8,26.6,6.1,6.2,1.6,11.6,7.4,5.6,0.9,0,5.8,0.2,1.6,52.2,34.1,23.5,11.1,39.3,,,64.6,41.4,9.5,"34,349","9,441","17,062","29,145","40,687","25,422","45,423","39,145","41,884","26,253","48,991","65,614","14,057","12,140","62,964","67,782","10,030","16,585","7,296","13,472",42.8,8.8,"121,500","48,500","42,100",149,"268,162","4,118","4,309","4,141","4,189","5,133","4,986","4,783","4,967","2,836","2,916","2,945","2,899",115,196,2,3.6,0.8,0.5,2.5,1,0.303,0.258,282.6,11.6,24.1,"6,626"
6,6,M,Yamagata,Ymgt,山形,53,112,51,108,190,135,92,6.3,85.3,138,107,241,87,"38,189",80.52,72.61,87.1,66.6,43.8,189952,30,27.4,11.6,32.9,55.5,13.91,35.77,12.6,75,1124,89,2677,0.361,1.4,0.38,20.61,10.5,9.2,28.4,60.2,3.6,33.8,32.1,61.6,72.5,74.9,77.6,98.2,75.6,32.1,16.97,29.46,1.9,93.2,80.6,44,219.5,57.2,467.6,609.1,305.5,3.6,8.2,12640,1061,1350,2111,217,9.42,68.4,13.3,30.6,71,53.1,56.9,45.5,34.7,20.9,0.5,3.1,4,1.1,10.2,85.3,23.9,22.2,27.4,30,7.7,5.7,1.8,12.4,9.8,6.4,1.4,0,8.1,0.1,2.1,43.8,28.3,18,10.8,37.3,,,66.6,40,26.3,"44,773","12,157","20,617","39,246","40,250","27,476","57,742","54,515","45,882","26,268","58,816","92,400","21,327","13,203","80,883","62,728","13,464","18,984","7,767","12,200",45.9,10.2,"131,500","50,900","45,000",148.6,"277,294","3,579","4,101","5,021","4,234","4,266","4,323","4,989","4,526","1,949","2,090","2,287","2,109",98,240,2,5.3,1,0.7,2.6,1,0.322,0.263,277.3,11,23.7,"7,098"
7,7,M,Fukushima,Fks,福島,92,105,53,100,170,175,124,6.8,72.9,172,160,382,93.3,"45,268",80.12,71.54,86.9,79.2,43.7,311787,28.9,30.1,11.6,30.9,57.5,13.17,28.62,14.2,70,828,73,2941,0.545,1.5,0.23,15.2,10.1,6.5,29.4,60.2,4.4,35,32.1,63.1,70.3,67.7,70.1,91.7,52.7,28.1,12.24,27.74,2.5,97,68.8,45.7,195.7,56.9,246.4,626.6,284.7,4.5,8.9,12491,992,1118,1889,208,10.63,66.8,12.8,31.9,67.6,51.7,56.5,45.9,28.9,15.4,0.2,2.7,2.8,1,7.9,83.6,23.4,22.4,30.1,28.9,7.8,7.9,1.5,12.1,7.6,5.8,1.3,0.1,10.7,0.2,3.2,43.7,23.8,23.8,11.8,38.3,,,79.2,37.1,34.7,"66,981","19,646","31,966","69,673","73,231","56,253","89,354","99,493","97,013","45,069","93,486","144,286","40,283","26,530","61,372","61,155","13,616","22,991","10,007","14,097",43.2,9.4,"199,300","73,500","77,700",147.9,"297,503","3,421","3,707","3,878","3,669","4,801","5,300","5,189","5,097","2,197","2,290","2,312","2,266",222,424,5,4.5,0.7,0.9,5.5,2.3,0.309,0.265,346.9,11.9,24.8,"7,297"
8,8,M,Ibaraki,Ibr,茨城,144,90,37,92,122,108,92,6,61.2,247,228,518,91.3,"37,708",80.28,72.5,89.7,66,46,454069,34.6,32,12.1,28.9,58.9,11.15,28.12,15.3,72,1282.5,10,3079,0.645,1.1,0.47,27.18,14.5,5.6,28.5,61.7,4.5,21.9,43.5,68.5,73.4,71.2,72.3,92.5,61.3,26.2,9.4,51.77,3.9,99,63.9,48.4,180.4,40.1,301.8,613.9,290.6,2.6,9.8,15211,1166,1314,1948,246,8.92,73,15.4,40,70.9,53.8,58.2,46.4,26.5,14.2,0.6,2,2.8,1,5.3,87.6,28.6,21.5,32,34.6,8.7,11.6,2.7,16,5.7,5.2,1.1,0.1,14.1,0.4,4.4,46,25,25.4,14.7,39.6,,,66,42.3,23.8,"88,550","26,678","43,621","101,799","94,217","74,960","127,145","124,975","121,536","61,202","129,802","168,769","56,043","32,828","64,858","62,319","11,901","20,748","7,227","12,556",39.2,7.9,"271,900","96,400","106,200",141.7,"322,325","3,611","3,528","4,188","3,776","4,712","5,051","5,327","5,030","2,264","2,576","2,745","2,528",225,484,7.3,9.3,1.5,2,6.6,2.6,0.302,0.252,290.9,11.2,23.7,"7,445"
9,9,M,Tochigi,Tch,栃木,97,102,44,105,146,79,87,5.5,75.5,234,193,547,88.6,"37,782",80.1,72.12,85.5,78,49.1,298944,32.1,30.5,12.3,28,59.6,11.15,29.03,15.2,71,1257,17,3481,0.651,1.5,0.52,24.21,13.5,5.5,30.7,60.1,4.3,26.8,48.3,69.3,72.4,69.1,71.6,95.3,65.2,26.2,14.18,73.86,3,97.1,85.9,50.4,218,49,244.8,583.7,306.4,3.7,10,15311,1041,1295,1893,240,9.16,73.5,14.6,37.1,69,52.9,57.5,46.3,25.1,14.6,0.8,2.8,2.8,1.1,6.1,84.4,26.1,20.8,30.5,32.1,7.6,11,3,12.2,4.7,5.3,0.6,0.1,10.5,0.3,3.6,49.1,27.2,23.8,14.5,36.4,,,78,39.9,19.7,"59,738","18,165","31,572","81,435","98,444","65,488","88,141","106,525","98,074","47,105","88,443","150,193","45,173","26,427","78,551","65,645","13,076","24,076","8,851","14,580",41.1,8.7,"180,700","65,200","70,200",142.2,"307,357","4,204","4,743","5,191","4,713","5,071","5,073","5,848","5,331","2,703","2,772","2,759","2,745",159,362,3.6,6.6,1.9,1.5,4.2,1.7,0.311,0.259,279.5,10.6,23.9,"7,582"
