都道府県名,人口,
北海道,5400000,
青森県,1321000,
岩手県,1284000,
宮城県,2328000,
秋田県,1037000,
山形県,1131000,
福島県,1935000,
茨城県,2919000,
栃木県,1980000,
群馬県,1976000,
埼玉県,7239000,
千葉県,6197000,
東京都,13390000,
神奈川県,9096000,
新潟県,2313000,
富山県,1070000,
石川県,1156000,
福井県,790000,
山梨県,841000,
長野県,2109000,
岐阜県,2041000,
静岡県,3705000,
愛知県,7455000,
三重県,1825000,
滋賀県,1416000,
京都府,2610000,
大阪府,8836000,
兵庫県,5541000,
奈良県,1376000,
和歌山県,971000,
鳥取県,574000,
島根県,697000,
岡山県　,1924000,
広島県,2833000,
山口県,1408000,
徳島県,764000,
香川県,981000,
愛媛県,1395000,
高知県,738000,
福岡県,5091000,
佐賀県,835000,
長崎県,1386000,
熊本県,1794000,
大分県,1171000,
宮崎県,1114000,
鹿児島県,1668000,
沖縄県　　　　,1421000,
,,
,,
,,
,,
,,
